date,client_type,product,unitprice,quantity,total,payment,calculated_total
2025-07-22,Retail,Zontes GK350,269000,20,5380000,Cash,5380000
2025-06-15,Wholesale,Yamaha FZi 150,99900,18,1798200,Credit card,1798200
2025-08-11,Wholesale,Zontes GK350,269000,41,11029000,Credit card,11029000
2025-07-31,Retail,Italjet Dragster 200,289000,50,14450000,Cash,14450000
2025-06-21,Wholesale,Zontes 310X,248000,7,1736000,Cash,1736000
2025-08-22,Retail,Zontes 310X,248000,3,744000,Cash,744000
2025-08-26,Retail,Yamaha Aerox 155,124000,28,3472000,Credit card,3472000
2025-08-14,Unknown,KTM 790 Duke,599000,14,8386000,Cash,8386000
2025-08-14,Retail,Bajaj Dominar 400,199900,12,2398800,Transfer,2398800
2025-08-27,Wholesale,KTM 790 Duke,599000,46,27554000,Credit card,27554000
2025-06-24,Wholesale,Vespa GTS Super 300,398000,19,7562000,Credit card,7562000
2025-06-03,Wholesale,Moto Guzzi V7 Stone,689000,13,8957000,Cash,8957000
2025-06-22,Retail,Bristol Veloce 500,328000,4,1312000,Credit card,1312000
2025-07-23,Retail,Honda Click 125i,80900,14,1132600,Cash,1132600
2025-06-02,Retail,CFMoto 300SR,165000,9,1485000,Transfer,1485000
2025-08-27,Retail,Vespa Primavera 150,210000,2,420000,Cash,420000
2025-06-30,Wholesale,Honda ADV 160,164900,5,824500,Cash,824500
2025-07-08,Wholesale,Suzuki Burgman Street 125,80900,42,3397800,Transfer,3397800
2025-06-02,Retail,Moto Guzzi V7 Stone,689000,10,6890000,Transfer,6890000
2025-08-03,Retail,CFMoto 650MT,345000,47,16215000,Cash,16215000
2025-07-30,Wholesale,Yamaha MT-15,178000,15,2670000,Credit card,2670000
2025-06-21,Retail,Yamaha Sniper 155,125900,24,3021600,Credit card,3021600
2025-07-03,Retail,Yamaha FZi 150,99900,19,1898100,Credit card,1898100
2025-08-15,Retail,Keeway RKS 150 Sport,68900,4,275600,Cash,275600
2025-07-28,Wholesale,Husqvarna Svartpilen 401,295000,49,14455000,Transfer,14455000
2025-06-22,Retail,Keeway RKS 150 Sport,68900,3,206700,Cash,206700
2025-08-28,Wholesale,Yamaha XMAX 300,319000,22,7018000,Cash,7018000
2025-07-19,Wholesale,Bajaj Dominar 400,199900,15,2998500,Cash,2998500
2025-08-30,Wholesale,Honda CBR500R,389000,2,778000,Cash,778000
2025-07-29,Retail,Honda CRF300L,284900,42,11965800,Credit card,11965800
2025-07-12,Wholesale,Suzuki GSX-S150,125000,19,2375000,Cash,2375000
2025-08-31,Retail,Honda CRF300L,284900,3,854700,Transfer,854700
2025-07-30,Retail,Suzuki Raider R150 Fi,119900,6,719400,Transfer,719400
2025-08-19,Wholesale,Vespa GTS Super 300,398000,20,7960000,Credit card,7960000
2025-06-15,Wholesale,Suzuki Avenis 125,79900,7,559300,Credit card,559300
2025-08-01,Wholesale,BMW G 310 GS,320000,5,1600000,Credit card,1600000
2025-08-01,Retail,BMW G 310 GS,320000,18,5760000,Transfer,5760000
2025-07-17,Wholesale,Rusi Flash 125,48000,50,2400000,Transfer,2400000
2025-08-01,Wholesale,Suzuki Raider R150 Fi,119900,9,1079100,Credit card,1079100
2025-07-21,Retail,Suzuki GSX-S150,125000,11,1375000,Cash,1375000
2025-07-25,Retail,SYM Jet X 150,128000,18,2304000,Transfer,2304000
2025-08-03,Wholesale,Yamaha Aerox 155,124000,12,1488000,Credit card,1488000
2025-06-03,Retail,Keeway RKS 150 Sport,68900,35,2411500,Credit card,2411500
2025-07-21,Wholesale,Vespa Primavera 150,210000,13,2730000,Transfer,2730000
2025-06-07,Retail,SYM Jet X 150,128000,43,5504000,Transfer,5504000
2025-06-21,Retail,Benelli 502C,349000,21,7329000,Transfer,7329000
2025-08-12,Retail,Honda CRF300L,284900,2,569800,Cash,569800
2025-07-09,Retail,Suzuki GSX-S150,125000,9,1125000,Credit card,1125000
2025-06-18,Wholesale,Honda ADV 160,164900,50,8245000,Credit card,8245000
2025-06-04,Retail,Yamaha Aerox 155,124000,2,248000,Credit card,248000
2025-08-28,Retail,Suzuki Burgman Street 125,80900,25,2022500,Credit card,2022500
2025-07-30,Retail,BMW R nineT,995000,33,32835000,Transfer,32835000
2025-06-14,Retail,Moto Guzzi V7 Stone,689000,43,29627000,Transfer,29627000
2025-06-09,Retail,CFMoto 650MT,345000,13,4485000,Cash,4485000
2025-08-29,Wholesale,Harley-Davidson Street 750,499000,3,1497000,Credit card,1497000
2025-07-23,Retail,CFMoto 300SR,165000,19,3135000,Credit card,3135000
2025-06-02,Retail,CFMoto 300SR,165000,25,4125000,Cash,4125000
2025-08-23,Wholesale,Vespa Primavera 150,210000,11,2310000,Transfer,2310000
2025-08-31,Wholesale,Honda Click 125i,80900,31,2507900,Credit card,2507900
2025-07-30,Wholesale,Vespa GTS Super 300,398000,9,3582000,Transfer,3582000
2025-08-10,Wholesale,Aprilia SR GT 200,219000,10,2190000,Credit card,2190000
2025-07-14,Wholesale,Bajaj Dominar 400,199900,7,1399300,Transfer,1399300
2025-06-08,Wholesale,Moto Morini X-Cape 650,369000,27,9963000,Cash,9963000
2025-07-17,Wholesale,Zontes GK350,269000,4,1076000,Transfer,1076000
2025-07-05,Wholesale,Motorstar Xplorer 250R,78900,10,789000,Credit card,789000
2025-08-20,Retail,Kawasaki KLX 230,199000,5,995000,Transfer,995000
2025-07-06,Retail,Bajaj CT125,67900,17,1154300,Transfer,1154300
2025-07-20,Wholesale,Honda CBR500R,389000,18,7002000,Cash,7002000
2025-06-04,Wholesale,Bajaj CT125,67900,20,1358000,Transfer,1358000
2025-06-02,Wholesale,Kawasaki Z400,331000,15,4965000,Transfer,4965000
2025-06-06,Retail,Motorstar Xplorer 250R,78900,36,2840400,Credit card,2840400
2025-07-24,Wholesale,Rusi Flash 125,48000,9,432000,Credit card,432000
2025-06-04,Retail,Bristol Bobber 650,398000,36,14328000,Credit card,14328000
2025-07-24,Retail,CFMoto 300SR,165000,42,6930000,Cash,6930000
2025-08-02,Retail,Yamaha Sniper 155,125900,13,1636700,Credit card,1636700
